_id,artist,image_url,release_date,id,name,popularity,mbti
61b1eebb2dde1bd4a71304d7,Cage The Elephant,https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12,2013-10-08,43O3Iu8mDJy10i6k8SVRXX,Take It or Leave It,57,isfp
61b1eebb2dde1bd4a71304d8,Big Thief,https://i.scdn.co/image/ab67616d0000b273b0b367262da7a05352e0b8fe,2016-05-27,6lU6rPNgmEhilIurtFmkFm,Real Love,54,isfp
61b1eebb2dde1bd4a71304d9,Clairo,https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc,2019-08-02,7B3z0ySL9Rr0XvZEAjWZzM,Sofia,83,isfp
61b1eebb2dde1bd4a71304da,Banes World,https://i.scdn.co/image/ab67616d0000b273a6fa743127e9cd0e58677df1,2017-01-26,5Ss6DqCldgTmIo6BekVOJT,You Say I'm in Love,67,isfp
61b1eebb2dde1bd4a71304db,Rex Orange County,https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97,2016-11-07,02tvc9CFnTyHuSRlGeNv9w,Corduroy Dreams,74,isfp
61b1eebb2dde1bd4a71304dc,girl in red,https://i.scdn.co/image/ab67616d0000b2738208bad5c9e425bafa68191e,2018-03-02,3h3pOvw6hjOvZxRUseB7h9,i wanna be your girlfriend,80,isfp
61b1eebb2dde1bd4a71304dd,The Beatles,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,1967-11-27,3Am0IbOxmvlSXro7N5iSfZ,Strawberry Fields Forever - Remastered 2009,71,isfp
61b1eebb2dde1bd4a71304de,Clairo,https://i.scdn.co/image/ab67616d0000b27371179dd3ac3cba1d14920469,2018-04-27,5mIOsPuQdXchVY0jB5NO9Q,4EVER,73,isfp
61b1eebb2dde1bd4a71304df,Kinneret,https://i.scdn.co/image/ab67616d0000b273f1a863fbd0eb41e37d038bac,2019-06-28,78Vm1H6bT8WQyPNyx7HBhP,No Wind Resistance!,67,isfp
61b1eebb2dde1bd4a71304e0,Clairo,https://i.scdn.co/image/ab67616d0000b273efe812ae54f0698a32ccae14,2017-08-04,0KyAGiNGUytG5JLxJu4F6l,Pretty Girl,79,isfp
61b1eebb2dde1bd4a71304e1,girl in red,https://i.scdn.co/image/ab67616d0000b273eb13fbc012815ea6e834e842,2018-11-21,1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,85,isfp
61b1eebb2dde1bd4a71304e2,Declan McKenna,https://i.scdn.co/image/ab67616d0000b273ec8be21d32e663885fbb244e,2017-07-21,5Bge1Dsqjc14hhGguYML5w,Why Do You Feel So Down,67,isfp
61b1eebc2dde1bd4a71304e3,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b273ee14a6d816e596e176575962,2013-05-08,5v8aEcHcaJIGYpfVVPtJjI,Wires,73,istp
61b1eebc2dde1bd4a71304e4,COIN,https://i.scdn.co/image/ab67616d0000b273667a552700a09676a52ccf0f,2020-02-21,5czZkLGepjburbkbEaCfm4,Cemetery,62,istp
61b1eebc2dde1bd4a71304e5,The Front Bottoms,https://i.scdn.co/image/ab67616d0000b2736d63200847e10f38aca82f7a,2013-05-21,14N3tALR3Mhf7UHpJRKk4L,Twin Size Mattress,67,istp
61b1eebc2dde1bd4a71304e6,The Front Bottoms,https://i.scdn.co/image/ab67616d0000b2732c98dd8f4413e70f8e736ee4,2014-06-17,7FtWXX2sRIGx95t3cPyHw8,Be Nice To Me,63,istp
61b1eebc2dde1bd4a71304e7,Mother Mother,https://i.scdn.co/image/ab67616d0000b27373eef2e5d5c258e5ed454c91,2012-09-18,0rPsA6WNBe8BdSgth2z0HG,Little Pistol,61,istp
61b1eebc2dde1bd4a71304e8,Glass Animals,https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23,2016-08-26,37adYGaYaAWTGhBaOzX4Fh,Take A Slice,73,istp
61b1eebc2dde1bd4a71304e9,Pink Guy,https://i.scdn.co/image/ab67616d0000b2731e8fd05e38f85c0a52bf017f,2017-01-04,0Dfctnkk9xIikDKJ06uwzo,She's So Nice,66,istp
61b1eebc2dde1bd4a71304ea,MARINA,https://i.scdn.co/image/ab67616d0000b27336f6918170afcb7fe66130e5,2010-02-15,4sNwdacKyi2S26WrRtNama,Oh No!,72,istp
61b1eebc2dde1bd4a71304eb,Molchat Doma,https://i.scdn.co/image/ab67616d0000b273d4549c0e601fbe7e8622a2f5,2018-09-07,1SHB1hp6267UK9bJQUxYvO,Судно (Борис Рижий),78,istp
61b1eebc2dde1bd4a71304ec,Lil Darkie,https://i.scdn.co/image/ab67616d0000b273d4638523848beff19bff7226,2019-10-12,18Gcl5bxdd8bpBhWOj1rCR,HAHA,68,istp
61b1eebc2dde1bd4a71304ed,Lil Peep,https://i.scdn.co/image/ab67616d0000b273687ba13245209baae15d512a,2021-07-02,5GLW3IBX8Nhsup4bBLyGxa,witchblades,77,istp
61b1eebc2dde1bd4a71304ee,Nirvana,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,4P5KoWXOxwuobLmHXLMobV,Come As You Are,76,istp
61b1eebc2dde1bd4a71304ef,Foster The People,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5,2011-05-23,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,85,istp
61b1eebc2dde1bd4a71304f0,t.A.T.u.,https://i.scdn.co/image/ab67616d0000b2733b27e1cd8a6bc6804c2e5fd2,2002,4bJygwUKrRgq1stlNXcgMg,All The Things She Said,78,istp
61b1eebc2dde1bd4a71304f1,Destroy Boys,https://i.scdn.co/image/ab67616d0000b2738b6a8a07bfd3ba3f5db8382d,2017-02-04,2NBxGmbCTLArOiMyWEWsPE,I Threw Glass at My Friend's Eyes and Now I'm on Probation,69,istp
61b1eebc2dde1bd4a71304f2,Miley Cyrus,https://i.scdn.co/image/ab67616d0000b27358577eee4dcd34c7be1512d1,2020-09-29,5i7ThJfYLAzp2DyZuFpF6j,Heart Of Glass (Live from the iHeart Festival),71,istp
61b1eebc2dde1bd4a71304f3,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,2007-04-24,7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,69,istp
61b1eebc2dde1bd4a71304f4,Insane Clown Posse,https://i.scdn.co/image/ab67616d0000b273b11270b7212912185c171598,2007-01-01,21DhGvrfC9W2FBjW5EJmWE,My Axe,54,istp
61b1eebc2dde1bd4a71304f5,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2739b791593e61e77e9a1c092fa,2019-05-24,7MlAND46qL6L5npwOhbaZK,Love 2 Fast,55,istp
