_id,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,type,valence
61b1eeb62dde1bd4a71302ec,0.979,0.519,0.0696,2ukrSqd5725LMi9qQjh528,0.000115,2,0.422,-20.097,0,0.0448,103.354,audio_features,0.161
61b1eeb62dde1bd4a71302ed,0.0781,0.366,0.439,3sa1wUB8FAkoH95MGPGBWI,0.0000192,4,0.108,-5.238,1,0.0298,115.94,audio_features,0.11
61b1eeb62dde1bd4a71302ee,0.00237,0.52,0.852,58ge6dfP91o9oXMzq3XkIS,0.0000579,0,0.0733,-5.866,1,0.0543,140.267,audio_features,0.234
61b1eeb62dde1bd4a71302ef,0.0483,0.691,0.631,086myS9r57YsLbJpU0TgK9,0.0000113,2,0.104,-6.478,1,0.0368,92.004,audio_features,0.8
61b1eeb62dde1bd4a71302f0,0.141,0.765,0.663,0NuWgxEp51CutD2pJoF4OM,0.000297,0,0.0924,-5.223,1,0.0652,150.091,audio_features,0.686
61b1eeb62dde1bd4a71302f1,0.0467,0.576,0.593,360Wr96ywrCQq4kTAJ8Pq6,0.000767,9,0.237,-6.024,0,0.0306,157.993,audio_features,0.373
61b1eeb62dde1bd4a71302f2,0.918,0.514,0.424,6S7o12almFeL57rbRvdY5l,0.849,0,0.126,-10.645,1,0.0282,71.114,audio_features,0.416
61b1eeb62dde1bd4a71302f3,0.542,0.404,0.664,1NZs6n6hl8UuMaX0UC0YTz,0.00402,1,0.11,-6.698,1,0.0407,107.747,audio_features,0.0949
61b1eeb62dde1bd4a71302f4,0.721,0.585,0.436,7lPN2DXiMsVn7XUKtOW1CS,0.0000131,10,0.105,-8.761,1,0.0601,143.874,audio_features,0.132
61b1eeb62dde1bd4a71302f5,0.0861,0.596,0.575,3jHdKaLCkuNEkWcLVmQPCX,0.000153,11,0.334,-8.325,0,0.0514,98.265,audio_features,0.34
61b1eeb62dde1bd4a71302f6,0.41,0.749,0.497,1ko2lVN0vKGUl9zrU0qSlT,0.0499,10,0.0504,-12.609,0,0.105,95.818,audio_features,0.585
